"","ethnicity","region","sex","agegrp","qualification","occupation","hours","income"
"14382","European","Bay of Plenty","M",45,"Bachelore or Higher","Community and Personal Service Worker",0,142
"14383","European","Nelson/Tasman/Marlborough/West Coast","M",40,"Vocational/Trade","Professionals",48,1711
"14384","Asian","Auckland","F",65,"None","No Occupation",0,180
"14385","European","Auckland","M",30,"Vocational/Trade","Managers",60,1332
"14386","Maori","Bay of Plenty","F",20,"Vocational/Trade","Sales Workers",36,1584
"14387","European","Canterbury","M",25,"School","Technicians and Trade Workers",43,768
"14388","European","Taranaki","F",65,"School","No Occupation",0,176
"14389","European","Canterbury","M",30,"Bachelore or Higher","Professionals",37,2532
"14390","European","Auckland","F",40,"Bachelore or Higher","Professionals",16,656
"14391","Maori","Gisborne / Hawke's Bay","M",15,"School","No Occupation",0,458
"14392","Maori","Gisborne / Hawke's Bay","M",45,"None","No Occupation",0,99
"14393","European","Canterbury","M",50,"School","No Occupation",0,188
"14394","Other","Auckland","F",30,"Vocational/Trade","No Occupation",0,-69
"14395","European","Bay of Plenty","F",65,"Vocational/Trade","No Occupation",0,592
"14396","Asian","Canterbury","F",25,"Other","No Occupation",0,454
"14397","Asian","Waikato","M",15,"Vocational/Trade","No Occupation",0,0
"14398","European","Auckland","F",30,"Vocational/Trade","Professionals",41.5,1359
"14399","European","Manawatu-Wanganui","F",65,"School","No Occupation",0,0
"14400","Asian","Auckland","M",30,"Other","No Occupation",0,56
"14401","Pacific People","Auckland","F",20,"None","Community and Personal Service Worker",40,660
"14402","Other","Auckland","F",30,"Bachelore or Higher","Professionals",44,583
"14403","European","Wellington","F",60,"Vocational/Trade","Professionals",30,730
"14404","European","Bay of Plenty","F",60,"None","Sales Workers",40,605
"14405","European","Northland","F",65,"None","No Occupation",0,184
"14406","European","Taranaki","M",60,"Vocational/Trade","Sales Workers",0,1266
"14407","European","Auckland","M",20,"Vocational/Trade","No Occupation",0,323
"14408","European","Other","M",35,"Other","Managers",70,1330
"14409","European","Nelson/Tasman/Marlborough/West Coast","M",20,"Other","Labourers",5.5,145
"14410","European","Canterbury","M",25,"Vocational/Trade","Machinery Operators and Drivers",40,621
"14411","Maori","Manawatu-Wanganui","M",15,"Vocational/Trade","No Occupation",0,0
"14412","European","Wellington","F",20,"School","Sales Workers",9,187
"14413","Other","Auckland","M",50,"None","Labourers",0,633
"14414","Maori","Waikato","F",40,"Vocational/Trade","Labourers",36,437
"14415","Maori","Northland","F",60,"None","Community and Personal Service Worker",40,580
"14416","Middle Eastern/Latin American/African","Auckland","F",25,"Vocational/Trade","No Occupation",0,510
"14417","European","Auckland","F",40,"School","Labourers",20,495
"14418","European","Wellington","M",20,"School","Technicians and Trade Workers",40,385
"14419","European","Canterbury","M",35,"Vocational/Trade","Technicians and Trade Workers",42.5,638
"14420","Asian","Auckland","M",55,"School","Community and Personal Service Worker",40,802
"14421","European","Canterbury","M",55,"Bachelore or Higher","Professionals",40,1055
"14422","European","Waikato","M",55,"School","Machinery Operators and Drivers",48,773
"14423","European","Nelson/Tasman/Marlborough/West Coast","F",30,"Vocational/Trade","Sales Workers",40,699
"14424","Maori","Waikato","M",25,"Vocational/Trade","No Occupation",0,353
"14425","European","Other","M",15,"School","Sales Workers",10,115
"14426","European","Other","M",55,"Vocational/Trade","Technicians and Trade Workers",40,648
"14427","Other","Manawatu-Wanganui","F",15,"None","No Occupation",0,0
"14428","Maori","Waikato","F",15,"School","Sales Workers",32.5,558
"14429","European","Waikato","F",25,"School","Clerical and Administrative Workers",0,152
"14430","European","Taranaki","M",65,"Bachelore or Higher","No Occupation",0,209
"14431","European","Other","M",35,"School","Managers",0,1207
"14432","European","Taranaki","F",15,"School","No Occupation",0,154
"14433","European","Canterbury","F",55,"Vocational/Trade","Clerical and Administrative Workers",40,1563
"14434","European","Other","F",35,"Vocational/Trade","Labourers",40,772
"14435","European","Waikato","F",65,"School","No Occupation",0,521
"14436","European","Waikato","F",20,"Bachelore or Higher","Professionals",14,492
"14437","Asian","Wellington","M",25,"Bachelore or Higher","Professionals",48,972
"14438","European","Auckland","F",30,"Bachelore or Higher","Professionals",18,460
"14439","European","Bay of Plenty","M",40,"Other","Managers",45,832
"14440","European","Waikato","M",50,"Bachelore or Higher","No Occupation",0,561
"14441","European","Waikato","F",65,"None","No Occupation",0,0
"14442","Maori","Bay of Plenty","F",20,"None","Labourers",40,594
"14443","European","Other","F",65,"None","Labourers",55,2461
"14444","European","Manawatu-Wanganui","M",45,"None","Technicians and Trade Workers",45,949
"14445","European","Auckland","F",55,"Vocational/Trade","Professionals",6,273
"14446","European","Auckland","F",65,"Vocational/Trade","No Occupation",0,6
"14447","European","Other","F",35,"Vocational/Trade","Clerical and Administrative Workers",40,1456
"14448","European","Nelson/Tasman/Marlborough/West Coast","M",15,"Other","No Occupation",0,424
"14449","Asian","Canterbury","M",30,"Bachelore or Higher","Professionals",40,1824
"14450","European","Nelson/Tasman/Marlborough/West Coast","M",20,"School","Labourers",39,856
"14451","European","Taranaki","F",25,"School","Labourers",18,1680
"14452","European","Waikato","M",15,"School","No Occupation",0,0
"14453","European","Canterbury","M",45,"Vocational/Trade","Professionals",34.5,1572
"14454","European","Auckland","M",35,"Bachelore or Higher","Professionals",47,1469
"14455","European","Auckland","M",35,"Other","Technicians and Trade Workers",41,630
"14456","European","Nelson/Tasman/Marlborough/West Coast","F",35,"Bachelore or Higher","Clerical and Administrative Workers",21.5,724
"14457","European","Waikato","M",45,"Other","Managers",0,0
"14458","Other Ethnicity","Other","M",50,"Vocational/Trade","Technicians and Trade Workers",40,45
"14459","Asian","Manawatu-Wanganui","F",20,"School","Labourers",0,203
"14460","Pacific People","Auckland","F",15,"School","No Occupation",0,0
"14461","Middle Eastern/Latin American/African","Auckland","M",65,"Bachelore or Higher","No Occupation",0,0
"14462","Other Ethnicity","Manawatu-Wanganui","M",60,"None","Clerical and Administrative Workers",0,1381
"14463","European","Auckland","F",30,"Bachelore or Higher","Professionals",24,-69
"14464","Maori","Other","F",50,"Other","No Occupation",0,370
"14465","European","Waikato","F",65,"Other","No Occupation",0,338
"14466","European","Wellington","M",20,"Bachelore or Higher","Community and Personal Service Worker",46,1102
"14467","European","Canterbury","F",20,"Bachelore or Higher","Managers",27,316
"14468","European","Taranaki","M",15,"School","No Occupation",0,0
"14469","Other","Auckland","F",20,"School","No Occupation",0,903
"14470","European","Bay of Plenty","M",65,"None","No Occupation",0,244
"14471","Other","Auckland","F",20,"None","No Occupation",0,292
"14472","European","Waikato","M",50,"School","No Occupation",0,759
"14473","Maori","Bay of Plenty","M",35,"Vocational/Trade","No Occupation",0,-211
"14474","European","Auckland","M",50,"None","Community and Personal Service Worker",53,930
"14475","Maori","Auckland","F",55,"None","No Occupation",0,62
"14476","European","Auckland","M",45,"Bachelore or Higher","Clerical and Administrative Workers",50,914
"14477","European","Bay of Plenty","F",30,"Vocational/Trade","Community and Personal Service Worker",0,457
"14478","European","Wellington","F",65,"Bachelore or Higher","Professionals",40,1783
"14479","European","Waikato","F",40,"Vocational/Trade","Sales Workers",35,1347
"14480","European","Wellington","M",35,"Bachelore or Higher","No Occupation",0,171
"14481","Pacific People","Auckland","M",40,"School","No Occupation",0,270
"14482","European","Manawatu-Wanganui","F",60,"Vocational/Trade","Labourers",40,518
"14483","European","Wellington","F",65,"Other","No Occupation",0,248
"14484","Maori","Wellington","M",20,"None","No Occupation",0,0
"14485","European","Auckland","F",65,"Vocational/Trade","No Occupation",0,266
"14486","European","Auckland","F",35,"Bachelore or Higher","Professionals",40,1797
"14487","European","Canterbury","M",55,"Bachelore or Higher","Community and Personal Service Worker",50,900
"14488","European","Wellington","M",45,"Bachelore or Higher","Clerical and Administrative Workers",42.5,861
"14489","European","Manawatu-Wanganui","F",65,"School","Sales Workers",19.5,949
"14490","European","Waikato","M",20,"Vocational/Trade","Labourers",31.5,562
"14491","Maori","Northland","F",65,"None","Labourers",35,656
"14492","European","Canterbury","F",60,"None","No Occupation",0,324
"14493","Asian","Northland","M",20,"Bachelore or Higher","Sales Workers",40,725
"14494","European","Waikato","F",35,"Bachelore or Higher","Sales Workers",37,1453
"14495","European","Canterbury","M",50,"Other","No Occupation",0,0
"14496","European","Auckland","F",45,"Other","Managers",6,301
"14497","European","Manawatu-Wanganui","M",60,"None","Technicians and Trade Workers",40,900
"14498","Maori","Bay of Plenty","F",40,"Vocational/Trade","Professionals",0,1245
"14499","Asian","Auckland","M",20,"Bachelore or Higher","Professionals",30,513
"14500","European","Waikato","F",35,"Bachelore or Higher","No Occupation",0,903
"14501","European","Manawatu-Wanganui","M",40,"Vocational/Trade","Managers",0,2015
"14502","European","Wellington","M",20,"School","Machinery Operators and Drivers",4,64
"14503","European","Gisborne / Hawke's Bay","M",65,"None","No Occupation",0,381
"14504","European","Manawatu-Wanganui","F",25,"Bachelore or Higher","Professionals",12.5,180
"14505","European","Canterbury","M",45,"School","Sales Workers",0,2571
"14506","European","Northland","M",65,"None","No Occupation",0,333
"14507","European","Auckland","F",60,"Bachelore or Higher","Managers",24,764
"14508","Other","Auckland","F",35,"Other","No Occupation",0,0
"14509","Asian","Auckland","F",30,"Bachelore or Higher","Community and Personal Service Worker",50,1352
"14510","European","Other","M",15,"Vocational/Trade","Community and Personal Service Worker",0,241
"14511","Asian","Other","M",15,"None","No Occupation",0,0
"14512","European","Wellington","F",65,"Bachelore or Higher","No Occupation",0,353
"14513","European","Other","M",35,"Vocational/Trade","Community and Personal Service Worker",27.5,985
"14514","European","Other","F",60,"Vocational/Trade","No Occupation",0,230
"14515","European","Gisborne / Hawke's Bay","M",15,"School","No Occupation",0,315
"14516","European","Auckland","M",20,"School","Technicians and Trade Workers",19.5,219
"14517","Asian","Auckland","F",45,"Vocational/Trade","Managers",45,3101
"14518","European","Gisborne / Hawke's Bay","F",65,"None","No Occupation",0,0
"14519","European","Auckland","M",45,"Vocational/Trade","Machinery Operators and Drivers",0,777
"14520","European","Canterbury","F",60,"Other","Sales Workers",9.5,644
"14521","Other","Canterbury","F",25,"Vocational/Trade","Community and Personal Service Worker",45,866
"14522","European","Auckland","F",55,"Other","Managers",37,1313
"14523","European","Bay of Plenty","F",65,"None","No Occupation",0,174
"14524","European","Other","M",15,"School","No Occupation",0,0
"14525","Asian","Waikato","F",40,"Other","No Occupation",0,161
"14526","European","Auckland","F",65,"Bachelore or Higher","No Occupation",0,260
"14527","Other","Northland","F",55,"None","Professionals",40,954
"14528","European","Auckland","M",15,"School","No Occupation",0,422
"14529","Asian","Northland","M",30,"Bachelore or Higher","Managers",40,863
"14530","European","Canterbury","M",40,"Vocational/Trade","Managers",47.5,1113
"14531","European","Auckland","F",65,"Vocational/Trade","No Occupation",0,254
"14532","Maori","Gisborne / Hawke's Bay","M",40,"Vocational/Trade","Sales Workers",40,604
"14533","European","Other","F",20,"School","No Occupation",0,13
"14534","European","Wellington","M",50,"Vocational/Trade","Technicians and Trade Workers",40,2426
"14535","European","Wellington","M",35,"School","Sales Workers",37,742
"14536","European","Waikato","M",65,"Vocational/Trade","No Occupation",0,80
"14537","European","Manawatu-Wanganui","M",60,"Vocational/Trade","Labourers",40,648
"14538","European","Canterbury","F",25,"Vocational/Trade","Labourers",8,228
"14539","Middle Eastern/Latin American/African","Auckland","M",25,"Vocational/Trade","Technicians and Trade Workers",45,743
"14540","European","Auckland","F",65,"Other","Labourers",1,15
"14541","European","Other","F",50,"School","No Occupation",0,265
"14542","European","Bay of Plenty","F",30,"Bachelore or Higher","Professionals",3,81
"14543","European","Other","M",65,"Vocational/Trade","No Occupation",0,453
"14544","Other","Auckland","M",15,"None","Labourers",10,115
"14545","European","Taranaki","M",40,"School","Professionals",37,1037
"14546","European","Auckland","M",35,"Bachelore or Higher","Clerical and Administrative Workers",20,314
"14547","European","Canterbury","M",25,"Vocational/Trade","No Occupation",0,429
"14548","Other","Gisborne / Hawke's Bay","M",30,"School","No Occupation",0,0
"14549","European","Auckland","M",25,"School","Machinery Operators and Drivers",0,207
"14550","European","Other","F",65,"Bachelore or Higher","No Occupation",0,0
"14551","European","Manawatu-Wanganui","F",65,"School","No Occupation",0,234
"14552","Asian","Canterbury","M",20,"School","No Occupation",0,127
"14553","European","Northland","F",15,"School","No Occupation",0,165
"14554","European","Auckland","F",65,"School","No Occupation",0,-211
"14555","European","Gisborne / Hawke's Bay","F",50,"Bachelore or Higher","Managers",37,1090
"14556","Asian","Wellington","F",50,"Bachelore or Higher","Professionals",32,1672
"14557","European","Auckland","F",55,"Bachelore or Higher","Professionals",32,963
"14558","European","Canterbury","F",20,"Vocational/Trade","Sales Workers",30,1100
"14559","Maori","Waikato","M",35,"None","Technicians and Trade Workers",0,-359
"14560","European","Wellington","F",45,"Bachelore or Higher","Professionals",40,901
"14561","European","Waikato","F",50,"Vocational/Trade","Labourers",4,697
"14562","European","Taranaki","M",65,"Vocational/Trade","No Occupation",0,255
"14563","European","Other","M",15,"School","Community and Personal Service Worker",28,378
"14564","European","Manawatu-Wanganui","M",60,"Bachelore or Higher","Professionals",0,1303
"14565","European","Wellington","F",65,"School","Sales Workers",19,349
"14566","Other","Bay of Plenty","F",20,"School","Managers",40,812
"14567","Pacific People","Auckland","M",25,"Vocational/Trade","Labourers",44,990
"14568","European","Auckland","F",45,"Other","Sales Workers",25,178
"14569","Other","Auckland","F",65,"Vocational/Trade","No Occupation",0,234
"14570","Pacific People","Gisborne / Hawke's Bay","F",50,"None","No Occupation",0,405
"14571","European","Auckland","M",45,"Vocational/Trade","Machinery Operators and Drivers",0,1036
"14572","European","Other","F",40,"Vocational/Trade","Managers",8,146
"14573","European","Manawatu-Wanganui","M",65,"School","Labourers",55,1039
"14574","Middle Eastern/Latin American/African","Manawatu-Wanganui","F",20,"School","No Occupation",0,418
"14575","European","Canterbury","F",65,"None","Labourers",40,1585
"14576","Other","Waikato","F",25,"None","Labourers",35,472
"14577","Asian","Auckland","M",40,"Vocational/Trade","Machinery Operators and Drivers",45,932
"14578","Asian","Canterbury","F",50,"Bachelore or Higher","Professionals",23,251
"14579","European","Auckland","M",55,"Vocational/Trade","Technicians and Trade Workers",42,567
"14580","European","Bay of Plenty","F",35,"School","Clerical and Administrative Workers",40,653
"14581","European","Auckland","M",65,"Vocational/Trade","No Occupation",0,458
"14582","European","Taranaki","F",65,"None","No Occupation",0,312
"14583","Other","Bay of Plenty","F",25,"Other","Sales Workers",40,1013
"14584","Asian","Auckland","M",35,"Other","Labourers",30,946
"14585","European","Waikato","F",40,"None","No Occupation",0,162
"14586","European","Gisborne / Hawke's Bay","M",65,"Vocational/Trade","No Occupation",0,299
"14587","European","Auckland","M",25,"Bachelore or Higher","No Occupation",0,473
"14588","European","Auckland","F",30,"School","Managers",30,587
"14589","European","Auckland","M",45,"School","Professionals",6,108
"14590","Other Ethnicity","Bay of Plenty","F",60,"Other","Professionals",25,559
"14591","European","Waikato","M",40,"Vocational/Trade","Technicians and Trade Workers",0,-526
"14592","European","Auckland","F",40,"School","No Occupation",0,403
"14593","Asian","Auckland","M",25,"Other","Technicians and Trade Workers",40,1087
"14594","Pacific People","Wellington","M",65,"None","Managers",0,242
"14595","Other","Auckland","F",25,"Vocational/Trade","Community and Personal Service Worker",46.5,926
"14596","Pacific People","Auckland","F",40,"Vocational/Trade","Machinery Operators and Drivers",40,1606
"14597","European","Canterbury","F",15,"School","No Occupation",0,0
"14598","Other","Auckland","M",15,"School","Managers",40,851
"14599","European","Auckland","M",40,"Vocational/Trade","Technicians and Trade Workers",40,1518
"14600","European","Bay of Plenty","F",65,"Vocational/Trade","No Occupation",0,297
"14601","European","Other","M",35,"Other","Technicians and Trade Workers",40,898
"14602","European","Waikato","F",30,"None","Community and Personal Service Worker",0,1045
"14603","European","Gisborne / Hawke's Bay","M",50,"Other","Managers",0,1726
"14604","Asian","Auckland","F",35,"Vocational/Trade","Clerical and Administrative Workers",30,519
"14605","European","Auckland","F",40,"Bachelore or Higher","Managers",40,1586
"14606","European","Canterbury","F",50,"Bachelore or Higher","Professionals",60,4169
"14607","Pacific People","Auckland","M",25,"Vocational/Trade","No Occupation",0,908
"14608","European","Bay of Plenty","M",30,"Other","Labourers",40,702
"14609","European","Bay of Plenty","M",65,"None","No Occupation",0,292
"14610","European","Auckland","F",65,"None","Sales Workers",12,259
"14611","European","Auckland","M",25,"School","No Occupation",0,386
"14612","European","Nelson/Tasman/Marlborough/West Coast","F",65,"None","No Occupation",0,218
"14613","Maori","Northland","M",35,"None","Technicians and Trade Workers",45,678
"14614","Other","Gisborne / Hawke's Bay","F",25,"Vocational/Trade","Professionals",40,682
"14615","European","Auckland","M",45,"Vocational/Trade","Technicians and Trade Workers",31,1029
"14616","European","Wellington","M",65,"Other","No Occupation",0,3
"14617","European","Gisborne / Hawke's Bay","F",65,"Vocational/Trade","No Occupation",0,200
"14618","European","Bay of Plenty","F",65,"School","No Occupation",0,271
"14619","Asian","Auckland","M",30,"Vocational/Trade","Professionals",45,3797
"14620","Other","Auckland","M",65,"None","No Occupation",0,222
"14621","European","Other","M",15,"None","No Occupation",0,0
"14622","European","Gisborne / Hawke's Bay","F",30,"School","No Occupation",0,439
"14623","European","Other","F",65,"Vocational/Trade","Labourers",0,428
"14624","European","Other","M",40,"Vocational/Trade","Managers",40,844
"14625","European","Other","M",65,"Vocational/Trade","No Occupation",0,331
"14626","European","Bay of Plenty","M",45,"Bachelore or Higher","Professionals",56,1663
"14627","European","Manawatu-Wanganui","F",65,"None","No Occupation",0,0
"14628","European","Manawatu-Wanganui","F",65,"School","No Occupation",0,350
"14629","Other Ethnicity","Bay of Plenty","F",50,"Vocational/Trade","No Occupation",0,487
"14630","European","Wellington","F",25,"None","Technicians and Trade Workers",0,506
"14631","European","Auckland","M",30,"Bachelore or Higher","Managers",45,891
"14632","European","Other","M",15,"None","No Occupation",0,0
"14633","European","Other","M",40,"Bachelore or Higher","Managers",60,2573
"14634","European","Gisborne / Hawke's Bay","F",60,"School","No Occupation",0,633
"14635","Pacific People","Waikato","F",30,"None","Managers",40,1371
"14636","European","Other","F",20,"Bachelore or Higher","Sales Workers",5,58
"14637","European","Auckland","M",50,"School","Labourers",40,824
"14638","European","Northland","M",55,"Vocational/Trade","Professionals",37.5,1082
"14639","European","Auckland","F",55,"Other","No Occupation",0,265
"14640","European","Wellington","F",65,"None","Labourers",10.5,326
"14641","European","Canterbury","F",60,"Vocational/Trade","No Occupation",0,290
"14642","European","Auckland","F",65,"Vocational/Trade","Clerical and Administrative Workers",35,510
"14643","European","Auckland","F",20,"School","Managers",0,-211
"14644","Asian","Auckland","M",40,"Bachelore or Higher","Professionals",0,958
"14645","Maori","Wellington","F",40,"Bachelore or Higher","Professionals",0,844
"14646","European","Canterbury","M",65,"School","No Occupation",0,0
"14647","Asian","Auckland","F",55,"Bachelore or Higher","Professionals",4,193
"14648","European","Gisborne / Hawke's Bay","F",55,"School","Community and Personal Service Worker",16,291
"14649","European","Waikato","F",50,"School","Clerical and Administrative Workers",48,1428
"14650","European","Canterbury","F",30,"None","Professionals",20,550
"14651","European","Canterbury","F",55,"Bachelore or Higher","Professionals",40,1118
"14652","Maori","Gisborne / Hawke's Bay","F",15,"None","Machinery Operators and Drivers",40.5,412
"14653","Other","Auckland","F",40,"Bachelore or Higher","Professionals",25,703
"14654","Other Ethnicity","Nelson/Tasman/Marlborough/West Coast","M",65,"None","Labourers",40,2242
"14655","European","Manawatu-Wanganui","F",60,"None","Sales Workers",53.5,2213
"14656","European","Waikato","F",40,"School","No Occupation",0,0
"14657","Maori","Northland","F",65,"None","Managers",37,1714
"14658","European","Waikato","M",65,"Vocational/Trade","Residual Categories",40,729
"14659","Pacific People","Auckland","F",20,"School","No Occupation",0,343
"14660","European","Manawatu-Wanganui","F",65,"None","No Occupation",0,0
"14661","European","Wellington","F",30,"Vocational/Trade","Clerical and Administrative Workers",13,315
"14662","European","Nelson/Tasman/Marlborough/West Coast","F",35,"Vocational/Trade","Community and Personal Service Worker",45,1401
"14663","European","Waikato","F",55,"Vocational/Trade","Professionals",43,1121
"14664","Maori","Auckland","M",20,"School","Professionals",40,949
"14665","European","Auckland","M",15,"None","Clerical and Administrative Workers",41,425
"14666","Asian","Auckland","F",50,"Bachelore or Higher","Professionals",37,1291
"14667","European","Canterbury","F",65,"None","No Occupation",0,445
"14668","European","Auckland","F",50,"School","No Occupation",0,578
"14669","Asian","Auckland","F",35,"Bachelore or Higher","Professionals",52,1236
"14670","European","Other","M",45,"None","Technicians and Trade Workers",40,2426
"14671","European","Taranaki","M",65,"None","Managers",0,353
"14672","European","Bay of Plenty","F",50,"School","No Occupation",0,0
"14673","European","Other","M",65,"None","No Occupation",0,0
"14674","European","Auckland","F",40,"School","No Occupation",0,341
"14675","Asian","Wellington","M",55,"Bachelore or Higher","Residual Categories",0,-25
"14676","Other","Waikato","F",55,"None","Labourers",25,850
"14677","European","Taranaki","F",45,"School","Managers",3,150
"14678","Pacific People","Auckland","F",60,"None","Professionals",35,1500
"14679","European","Wellington","F",60,"School","No Occupation",0,39
"14680","European","Waikato","M",55,"Vocational/Trade","Sales Workers",40,572
"14681","Other","Auckland","M",55,"School","Machinery Operators and Drivers",45,1014
"14682","Pacific People","Auckland","F",65,"None","No Occupation",0,294
"14683","European","Auckland","F",40,"School","Clerical and Administrative Workers",0,633
"14684","Other","Auckland","F",15,"School","Sales Workers",9,81
"14685","European","Auckland","F",45,"Vocational/Trade","Professionals",40,1139
"14686","European","Waikato","M",40,"None","Sales Workers",40,2426
"14687","Maori","Manawatu-Wanganui","F",20,"Other","No Occupation",0,530
"14688","European","Auckland","M",65,"Bachelore or Higher","No Occupation",0,323
"14689","Other","Waikato","F",20,"School","Clerical and Administrative Workers",0,105
"14690","European","Waikato","M",65,"Vocational/Trade","No Occupation",0,222
"14691","European","Bay of Plenty","F",60,"Vocational/Trade","Technicians and Trade Workers",0,854
"14692","European","Auckland","F",25,"Vocational/Trade","Professionals",24,660
"14693","European","Canterbury","M",30,"School","Labourers",40,495
"14694","Other","Other","F",15,"School","No Occupation",0,423
"14695","European","Northland","F",50,"School","No Occupation",0,1
"14696","European","Auckland","F",65,"School","Clerical and Administrative Workers",45,1861
"14697","European","Canterbury","F",35,"Vocational/Trade","Professionals",13,1104
"14698","Other","Auckland","F",25,"Bachelore or Higher","No Occupation",0,0
"14699","European","Waikato","F",35,"Vocational/Trade","Labourers",15,177
"14700","Pacific People","Auckland","M",65,"Vocational/Trade","Community and Personal Service Worker",37.5,504
"14701","Other","Waikato","M",25,"School","Machinery Operators and Drivers",77,3110
"14702","European","Auckland","F",30,"Bachelore or Higher","Professionals",20,503
"14703","Other Ethnicity","Nelson/Tasman/Marlborough/West Coast","F",65,"Vocational/Trade","No Occupation",0,116
"14704","Pacific People","Auckland","M",35,"School","No Occupation",0,331
"14705","European","Auckland","F",45,"School","Managers",0,1493
"14706","European","Waikato","F",20,"Vocational/Trade","Community and Personal Service Worker",38.5,956
"14707","Other","Canterbury","M",65,"Vocational/Trade","No Occupation",0,428
"14708","Other Ethnicity","Other","M",65,"None","Managers",0,1213
"14709","Asian","Auckland","M",30,"Vocational/Trade","Managers",55,2048
"14710","Other","Other","F",50,"Vocational/Trade","Sales Workers",38,1249
"14711","European","Waikato","F",50,"Vocational/Trade","Professionals",40,561
"14712","European","Waikato","M",65,"None","Labourers",46,1111
"14713","Asian","Auckland","M",45,"Vocational/Trade","Machinery Operators and Drivers",40,468
"14714","European","Auckland","M",65,"Vocational/Trade","No Occupation",0,0
"14715","European","Auckland","F",20,"Bachelore or Higher","Professionals",50,1060
"14716","European","Manawatu-Wanganui","M",30,"None","No Occupation",0,0
"14717","European","Auckland","M",65,"Vocational/Trade","No Occupation",0,332
"14718","European","Auckland","F",20,"School","No Occupation",0,214
"14719","European","Canterbury","M",65,"Other","Labourers",39,772
"14720","European","Manawatu-Wanganui","F",65,"School","No Occupation",0,303
"14721","Pacific People","Auckland","F",35,"Bachelore or Higher","No Occupation",0,287
"14722","European","Northland","F",60,"Vocational/Trade","Technicians and Trade Workers",52,1179
"14723","European","Auckland","F",40,"School","Managers",35,1053
"14724","European","Auckland","M",55,"Vocational/Trade","No Occupation",0,0
"14725","Pacific People","Auckland","F",40,"Vocational/Trade","Labourers",20,493
"14726","European","Canterbury","F",50,"None","Labourers",40,450
"14727","Other","Auckland","M",15,"None","No Occupation",0,0
"14728","European","Canterbury","F",25,"School","Clerical and Administrative Workers",38,1072
"14729","European","Taranaki","M",15,"None","No Occupation",0,72
"14730","European","Canterbury","M",60,"None","No Occupation",0,276
"14731","Other Ethnicity","Wellington","F",65,"Vocational/Trade","Labourers",32,379
"14732","European","Wellington","F",35,"Vocational/Trade","No Occupation",0,228
"14733","European","Canterbury","F",30,"Bachelore or Higher","Professionals",30,1445
"14734","Asian","Auckland","F",40,"School","Professionals",7.5,2117
"14735","European","Auckland","F",15,"None","No Occupation",0,0
"14736","European","Wellington","M",55,"Bachelore or Higher","Managers",12,389
"14737","European","Canterbury","M",15,"School","No Occupation",0,0
"14738","European","Other","M",45,"None","Technicians and Trade Workers",0,14
"14739","European","Auckland","M",15,"School","No Occupation",0,0
"14740","Pacific People","Auckland","F",30,"Other","No Occupation",0,474
"14741","Asian","Auckland","F",15,"Bachelore or Higher","No Occupation",0,306
"14742","European","Canterbury","M",25,"Vocational/Trade","Labourers",10,318
"14743","Maori","Auckland","F",35,"Vocational/Trade","Clerical and Administrative Workers",13.5,798
"14744","European","Auckland","M",65,"Bachelore or Higher","No Occupation",0,405
"14745","European","Other","M",40,"Vocational/Trade","Labourers",45,688
"14746","Asian","Bay of Plenty","F",40,"Bachelore or Higher","Professionals",0,404
"14747","European","Bay of Plenty","F",45,"Bachelore or Higher","Sales Workers",45,1850
"14748","European","Bay of Plenty","F",40,"Bachelore or Higher","Managers",26,1188
"14749","European","Canterbury","F",25,"None","No Occupation",0,393
"14750","European","Nelson/Tasman/Marlborough/West Coast","F",15,"School","No Occupation",0,0
"14751","European","Manawatu-Wanganui","M",55,"Bachelore or Higher","Professionals",18.5,-211
"14752","European","Gisborne / Hawke's Bay","F",35,"Bachelore or Higher","Professionals",37.5,1246
"14753","European","Auckland","M",40,"School","Machinery Operators and Drivers",0,1620
"14754","Other","Auckland","F",45,"School","Community and Personal Service Worker",40,742
"14755","Maori","Wellington","M",30,"Other","Managers",45,975
"14756","European","Auckland","F",65,"None","No Occupation",0,418
"14757","European","Auckland","F",30,"Bachelore or Higher","Professionals",38,1086
"14758","European","Canterbury","F",50,"Vocational/Trade","Professionals",30,1511
"14759","European","Wellington","M",15,"School","No Occupation",0,0
"14760","European","Waikato","M",30,"Vocational/Trade","Community and Personal Service Worker",60,1198
"14761","European","Auckland","F",40,"School","No Occupation",0,240
"14762","Other","Canterbury","F",25,"Bachelore or Higher","No Occupation",0,35
"14763","European","Auckland","M",25,"Bachelore or Higher","Community and Personal Service Worker",28.5,1968
"14764","European","Manawatu-Wanganui","M",65,"School","No Occupation",0,229
"14765","European","Other","M",65,"None","No Occupation",0,271
"14766","Asian","Canterbury","M",40,"Bachelore or Higher","No Occupation",0,350
"14767","European","Auckland","F",65,"Vocational/Trade","No Occupation",0,1334
"14768","European","Waikato","F",60,"Vocational/Trade","Community and Personal Service Worker",8,908
"14769","European","Bay of Plenty","M",65,"Vocational/Trade","No Occupation",0,369
"14770","European","Canterbury","F",25,"School","Professionals",32,520
"14771","Pacific People","Auckland","F",45,"Vocational/Trade","Managers",6,348
"14772","European","Nelson/Tasman/Marlborough/West Coast","F",35,"School","Clerical and Administrative Workers",43,1510
"14773","European","Auckland","M",35,"Vocational/Trade","Professionals",41.5,1986
"14774","European","Waikato","F",25,"School","Community and Personal Service Worker",36,825
